== border_detect Step1 边框探测：206 页
[468/1236] 37% column_warp p56: 完成 0.13s
[469/1236] 37% column_warp p57: 完成 0.13s
[470/1236] 38% column_warp p58: 完成 0.13s
[471/1236] 38% column_warp p59: 完成 0.14s
[472/1236] 38% column_warp p60: 完成 0.14s
[473/1236] 38% column_warp p61: 完成 0.13s
[474/1236] 38% column_warp p62: 完成 0.13s
[475/1236] 38% column_warp p63: 完成 0.13s
[476/1236] 38% column_warp p64: 完成 0.16s
[477/1236] 38% column_warp p65: 完成 0.16s
[478/1236] 38% column_warp p66: 完成 0.14s
[479/1236] 38% column_warp p67: 完成 0.13s
[480/1236] 38% column_warp p68: 完成 0.13s
[481/1236] 38% column_warp p69: 完成 0.15s
[482/1236] 38% column_warp p70: 完成 0.13s
[483/1236] 39% column_warp p71: 完成 0.14s
[484/1236] 39% column_warp p72: 完成 0.14s
[485/1236] 39% column_warp p73: 完成 0.24s
[486/1236] 39% column_warp p74: 完成 0.47s
[487/1236] 39% column_warp p75: 完成 0.38s
[488/1236] 39% column_warp p76: 完成 0.42s
[489/1236] 39% column_warp p77: 完成 0.23s
[490/1236] 39% column_warp p78: 完成 0.13s
[491/1236] 39% column_warp p79: 完成 0.13s
[492/1236] 39% column_warp p80: 完成 0.13s
[493/1236] 39% column_warp p81: 完成 0.12s
[494/1236] 39% column_warp p82: 完成 0.12s
[495/1236] 40% column_warp p83: 完成 0.12s
[496/1236] 40% column_warp p84: 完成 0.14s
[497/1236] 40% column_warp p85: 完成 0.13s
[498/1236] 40% column_warp p86: 完成 0.13s
[499/1236] 40% column_warp p87: 完成 0.12s
[500/1236] 40% column_warp p88: 完成 0.13s
[501/1236] 40% column_warp p89: 完成 0.13s
[502/1236] 40% column_warp p90: 完成 0.14s
[503/1236] 40% column_warp p91: 完成 0.14s
[504/1236] 40% column_warp p92: 完成 0.13s
[505/1236] 40% column_warp p93: 完成 0.12s
[506/1236] 40% column_warp p94: 完成 0.13s
[507/1236] 41% column_warp p95: 完成 0.14s
[508/1236] 41% column_warp p96: 完成 0.14s
[509/1236] 41% column_warp p97: 完成 0.13s
[510/1236] 41% column_warp p98: 完成 0.13s
[511/1236] 41% column_warp p99: 完成 0.12s
[512/1236] 41% column_warp p100: 完成 0.13s
[513/1236] 41% column_warp p101: 完成 0.12s
[514/1236] 41% column_warp p102: 完成 0.12s
[515/1236] 41% column_warp p103: 完成 0.12s
[516/1236] 41% column_warp p104: 完成 0.41s
[517/1236] 41% column_warp p105: 完成 0.35s
[518/1236] 41% column_warp p106: 完成 0.35s
[519/1236] 41% column_warp p107: 完成 0.20s
[520/1236] 42% column_warp p108: 完成 0.12s
